Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,59616148,China,2008,5619,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,208958855,United States,2021,52,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,0,United States,2021,1453,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,187842401,United States,,140770,Health Care,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group Inc. Common Stock,9349732165,United States,,17788580,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,50510728,United States,,2547,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,69552782,United States,2013,50664,Technology,Semiconductors
AAON,AAON Inc. Common Stock,4876801557,United States,,377508,Industrials,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,2.76149E+12,United States,1980,73938285,Technology,Computer Manufacturing
ABCB,Ameris Bancorp Common Stock,2674870568,United States,1994,566664,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,2180085254,Canada,2020,1037252,Health Care,Pharmaceuticals and Biotechnology
ABCM,Abcam plc American Depositary Shares,3163952317,United Kingdom,2020,382732,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,42080708,United States,,99839,Health Care,Biotechnology: Pharmaceutical Preparations
ABIO,ARCA biopharma Inc. Common Stock,30405402,United States,,82301,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABNB,Airbnb Inc. Class A Common Stock,73768593176,United States,2020,5374445,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,158790102,United States,2021,91289,Health Care,Biotechnology: Pharmaceutical Preparations
ABSI,Absci Corporation Common Stock,161691091,United States,2021,578317,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,400873446,Canada,2020,23329,,
ABUS,Arbutus Biopharma Corporation Common Stock,477225000,Canada,,621611,Health Care,Pharmaceuticals and Biotechnology
ABVC,ABVC BioPharma Inc. Common Stock,21211014,United States,,25411,Health Care,Biotechnology: Pharmaceutical Preparations
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,388312500,United States,2022,259019,Industrials,Consumer Electronics/Appliances
ACABU,Atlantic Coastal Acquisition Corp. II Unit,0,United States,2022,300,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,0,United States,2022,500,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,113095313,United States,2022,48,Industrials,Consumer Electronics/Appliances
ACACU,Acri Capital Acquisition Corporation Unit,0,United States,2022,10,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,3149557833,United States,2004,1367484,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,433837500,United States,2021,3200,Industrials,Consumer Electronics/Appliances
ACAHU,Atlantic Coastal Acquisition Corp. Unit,0,United States,2021,9171,Industrials,Consumer Electronics/Appliances
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,0,United States,2021,10100,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,115813950,United States,2022,1122,Industrials,Consumer Electronics/Appliances
ACAXW,Alset Capital Acquisition Corp. Warrant,0,United States,2022,1000,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabis Inc. Common Shares,247590976,Canada,,6139033,Health Care,Pharmaceuticals and Biotechnology
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,65501253,Hong Kong,2021,10918,Consumer Discretionary,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,0,Hong Kong,2021,770,Consumer Discretionary,Catalog/Specialty Distribution
ACCD,Accolade Inc. Common Stock,922935952,United States,2020,478280,Technology,Interactive Media
ACDC,ProFrac Holding Corp. Class A Common Stock,643729605,United States,2022,2762979,Industrials,Metal Fabrications
ACDCW,ProFrac Holding Corp. Warrant,0,United States,,10373,Industrials,Metal Fabrications
ACER,Acer Therapeutics Inc. Common Stock (DE),16665295,United States,,508783,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,128705170,United States,2018,340587,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,24890954458,Bermuda,,1635723,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,0,Bermuda,,137427,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,0,Bermuda,,11871,Finance,Property-Casualty Insurers
ACGN,Aceragen Inc. Common Stock,25467800,United States,,6291,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHC,Acadia Healthcare Company Inc. Common Stock,6455707554,United States,,510887,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,36026111,United Kingdom,2021,162482,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHV,Achieve Life Sciences Inc. Common Shares,78388987,United States,,119857,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIU,AC Immune SA Common Stock,183509696,Switzerland,2016,43815,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,2944202285,United States,,863190,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,4373823750,United States,2000,664868,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,1419964620,United States,2022,341617,Health Care,Biotechnology: Pharmaceutical Preparations
ACMR,ACM Research Inc. Class A Common Stock,706388685,United States,2017,460852,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,283127740,United States,,14783,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,93248848,United States,,4476,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,6452750,United States,2022,14911,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,14967756,United States,2006,38402,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACRS,Aclaris Therapeutics Inc. Common Stock,549469494,United States,2015,482163,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRV,Acrivon Therapeutics Inc. Common Stock,251871436,United States,2022,280335,Health Care, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,5616525,United States,2011,252104,Health Care, Medicinal Chemicals and Botanical Products 
ACST,Acasti Pharma Inc. Class A Common Stock,20334528,Canada,,26149,Health Care,Pharmaceuticals and Biotechnology
ACT,Enact Holdings Inc. Common Stock,3637903997,United States,2021,92029,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,185636367,United States,,391605,Miscellaneous,Multi-Sector Companies
ACVA,ACV Auctions Inc. Class A Common Stock,2072613029,United States,2021,1333251,Industrials,Metal Fabrications
ACXP,Acurx Pharmaceuticals Inc. Common Stock,36400792,United States,2021,18770,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,67041479,China,2021,6008,Health Care,Biotechnology: Pharmaceutical Preparations
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,314855625,United States,2021,279,Finance,Blank Checks
ADALW,Anthemis Digital Acquisitions I Corp Warrant,0,United States,2021,15500,Finance,Blank Checks
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,194956531,United Kingdom,2015,1093914,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,1.71318E+11,United States,1986,4479191,Technology,Computer Software: Prepackaged Software
ADD,Color Star Technology Co. Ltd. Ordinary Shares,23350068,United States,,470311,,
ADEA,Adeia Inc. Common Stock,878293900,United States,2003,496382,Technology,EDP Services
ADER,26 Capital Acquisition Corp. Class A Common Stock,355131563,United States,2021,7201,Industrials,Consumer Electronics/Appliances
ADERU,26 Capital Acquisition Corp. Unit,0,United States,2021,100,Industrials,Consumer Electronics/Appliances
ADERW,26 Capital Acquisition Corp. Warrant,0,United States,2021,7000,Industrials,Consumer Electronics/Appliances
ADES,Advanced Emissions Solutions Inc. Common Stock,57405014,United States,,20969,Industrials,Industrial Specialties
ADI,Analog Devices Inc. Common Stock,95302610812,United States,,3232914,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,11144394,United States,2018,165550,Health Care,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,0,United States,2018,5362,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,684799861,United States,,1831400,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,15703248,United States,,1198979,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,26569670,United States,2018,515338,Utilities,Power Generation
ADNWW,Advent Technologies Holdings Inc. Warrant,0,United States,2018,89983,Utilities,Power Generation
ADOCR,Edoc Acquisition Corp. Right,0,United States,2020,1849,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Automatic Data Processing Inc. Common Stock,90370071310,United States,,2230474,Consumer Discretionary,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,1195943421,United States,2019,835407,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,120067429,Ireland,,4721,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,0,Ireland,,3345,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,44696236382,United States,,1785734,Technology,Computer Software: Prepackaged Software
ADTH,AdTheorent Holding Company Inc. Common Stock,145995926,United States,2021,140344,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,1246244819,United States,1994,687866,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,3866070,United States,2020,13001,Health Care, Medicinal Chemicals and Botanical Products 
ADUS,Addus HomeCare Corporation Common Stock,1629402215,United States,2009,138223,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,613794167,United States,2019,378878,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,78008043,United States,2014,190575,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,0,United States,2019,11800,Consumer Discretionary,Advertising
ADXN,Addex Therapeutics Ltd American Depositary Shares,22300673,Switzerland,,129031,Health Care,Biotechnology: Pharmaceutical Preparations
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,297850000,United States,2021,24571,Industrials,Consumer Electronics/Appliances
AEAEU,AltEnergy Acquisition Corp. Unit,0,United States,2021,56,Industrials,Consumer Electronics/Appliances
AEAEW,AltEnergy Acquisition Corp. Warrant,0,United States,2021,1,Industrials,Consumer Electronics/Appliances
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,13844289,China,,104006,Consumer Discretionary,Building Products
AEHR,Aehr Test Systems Common Stock,1025156304,United States,1997,1935312,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),14640190,United States,2020,18579,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,3640440820,United States,1995,147694,Consumer Discretionary,Electrical Products
AEMD,Aethlon Medical Inc. Common Stock,8847793,United States,,124270,Miscellaneous,Diversified Commercial Services
AEP,American Electric Power Company Inc. Common Stock,45682480974,United States,,4532026,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,0,United States,,60942,Utilities,Electric Utilities: Central
AEY,ADDvantage Technologies Group Inc. Common Stock,19697597,United States,,122473,Consumer Discretionary,Durable Goods
AEYE,AudioEye Inc. Common Stock,66405066,United States,,10343,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,12916630,Canada,,44726,Health Care,Pharmaceuticals and Biotechnology
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,150840900,Singapore,2022,163,Finance,Blank Checks
AFARU,Aura FAT Projects Acquisition Corp Unit,0,Singapore,2022,100,Finance,Blank Checks
AFARW,Aura FAT Projects Acquisition Corp Warrant,0,Singapore,2022,100,Finance,Blank Checks
AFBI,Affinity Bancshares Inc. Common Stock (MD),95117530,United States,2017,21768,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,257604600,United States,2021,175443,Real Estate,Real Estate Investment Trusts
AFIB,Acutus Medical Inc. Common Stock,24258386,United States,2020,49968,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFMD,Affimed N.V.,114244591,Germany,2014,592366,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,301536851,Gibraltar,,9893,Consumer Staples,Farming/Seeds/Milling
AFRIW,Forafric Global PLC Warrants,0,Gibraltar,,39232,Consumer Staples,Farming/Seeds/Milling
AFRM,Affirm Holdings Inc. Class A Common Stock,3086945148,United States,2021,20853773,Technology,EDP Services
AFYA,Afya Limited Class A Common Shares,979408986,Brazil,2019,180571,Real Estate,Other Consumer Services
AGAE,Allied Gaming & Entertainment Inc. Common Stock,45730000,United States,2017,48361,Telecommunications,Cable & Other Pay Television Services
AGBA,AGBA Group Holding Limited Ordinary Share,103173000,Hong Kong,2019,20062,Finance,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,0,Hong Kong,2019,2164,Finance,Investment Managers
AGEN,Agenus Inc. Common Stock,496843047,United States,2000,3977196,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,159157056,United States,2014,97494,,
AGFY,Agrify Corporation Common Stock,4565089,United States,2021,873872,Consumer Discretionary,Military/Government/Technical
AGIL,AgileThought Inc. Class A Common Stock,175114951,United States,2020,59562,Technology,EDP Services
AGILW,AgileThought Inc. Warrant,0,United States,2020,15440,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,1270325071,United States,2013,379618,Health Care,Biotechnology: Pharmaceutical Preparations
AGLE,Aeglea BioTherapeutics Inc. Common Stock,20021856,United States,2016,201263,Health Care,Biotechnology: Pharmaceutical Preparations
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,49403704,Hong Kong,2018,6506,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,5660795000,United States,2008,10491176,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,0,United States,,15431,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,0,United States,,29262,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,0,United States,,29031,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,0,United States,,19885,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,0,United States,,29627,Real Estate,Real Estate Investment Trusts
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,10999517,Canada,2021,118798,,
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,0,Canada,2021,300,,
AGRX,Agile Therapeutics Inc. Common Stock,11234334,United States,2014,591731,Health Care,Biotechnology: Pharmaceutical Preparations
AGYS,Agilysys Inc. Common Stock (DE),1980891631,United States,,106245,Technology,Computer Software: Prepackaged Software
AHCO,AdaptHealth Corp. Common Stock,1940135976,United States,2018,1070850,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHG,Akso Health Group ADS,9528091,China,2017,7208,Finance,Finance: Consumer Services
AHI,Advanced Health Intelligence Ltd. American Depositary Shares,10371255,Australia,2021,5370,Consumer Discretionary,Package Goods/Cosmetics
AHRN,Ahren Acquisition Corp. Class A Ordinary Shares,389622403,Cayman Islands,2022,2141,Consumer Staples,Farming/Seeds/Milling
AHRNU,Ahren Acquisition Corp. Unit,0,Cayman Islands,2021,100,Consumer Staples,Farming/Seeds/Milling
AIB,AIB Acquisition Corporation Class A Ordinary Shares,118148363,United States,2022,4473,Finance,Blank Checks
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,39555490,China,2019,7221,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,39022936,China,2018,27621,Finance,Finance: Consumer Services
AIMAW,Aimfinity Investment Corp. I Warrant,0,United States,2022,39104,Finance,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,0,United States,2022,15,Finance,Blank Checks
AIMC,Altra Industrial Motion Corp. Common Stock,4003629053,United States,2006,2195422,Industrials,Industrial Machinery/Components
AIMD,Ainos Inc. Common Stock,20812066,United States,,268192,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,0,United States,,115,Health Care,Biotechnology: Pharmaceutical Preparations
AIP,Arteris Inc. Common Stock,145399607,United States,2021,116615,Technology,Semiconductors
AIRG,Airgain Inc. Common Stock,55002624,United States,2016,41315,Technology,Radio And Television Broadcasting And Communications Equipment
AIRS,AirSculpt Technologies Inc. Common Stock,276368439,United States,2021,153764,Health Care,Hospital/Nursing Management
AIRT,Air T Inc. Common Stock,64852180,United States,,3024,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,0,United States,,1963,Consumer Discretionary,Air Freight/Delivery Services
AIXI,XIAO-I Corporation American Depositary Shares,,China,2023,487325,Technology,Computer Software: Prepackaged Software
AKAM,Akamai Technologies Inc. Common Stock,11809200000,United States,1999,1825555,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,37441117,United Kingdom,2022,297719,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,128773458,United States,2014,820898,Health Care,Biotechnology: Pharmaceutical Preparations
AKLI,Akili Inc. Common Stock,97385933,United States,2021,78604,Technology,Computer Software: Prepackaged Software
AKRO,Akero Therapeutics Inc. Common Stock,1742863942,United States,2019,555128,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,207507792,United States,,679641,Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,17845466,United Kingdom,,21445,Health Care,Biotechnology: Pharmaceutical Preparations
AKU,Akumin Inc. Common Stock (DE),73925917,United States,,6601,Health Care,Medical Specialities
AKYA,Akoya BioSciences Inc. Common Stock,313515379,United States,2021,196591,Industrials,Medical Specialities
ALAR,Alarum Technologies Ltd. American Depositary Share,5367562,Israel,2018,6672,Technology,Computer Software: Prepackaged Software
ALBT,Avalon GloboCare Corp. Common Stock,22696466,United States,,49794,Real Estate,Building operators
ALCO,Alico Inc. Common Stock,187479468,United States,,52452,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,435101380,United States,2014,320968,Health Care,Biotechnology: Pharmaceutical Preparations
ALEC,Alector Inc. Common Stock,508614465,United States,2019,484728,Health Care,Biotechnology: Pharmaceutical Preparations
ALGM,Allegro MicroSystems Inc. Common Stock,8914710062,United States,2020,1573435,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,25326572000,United States,2001,854595,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,51378712,United States,2020,76435,Health Care,Biotechnology: Pharmaceutical Preparations
ALGT,Allegiant Travel Company Common Stock,1530381124,United States,2006,174593,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,1121693276,United States,2021,811261,Health Care,Medical Specialities
ALIM,Alimera Sciences Inc. Common Stock,11493910,United States,2010,64223,Health Care,Biotechnology: Pharmaceutical Preparations
ALKS,Alkermes plc Ordinary Shares,4359599542,Ireland,1991,634104,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,1154452322,United States,2021,489187,Technology,EDP Services
ALLK,Allakos Inc. Common Stock,429426129,United States,2018,535570,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeutics Inc. Common Stock,772966425,United States,2018,1298808,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics Inc. Common Stock,2029637,United States,,10963643,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,100434174,Israel,2006,74386,Telecommunications,Telecommunications Equipment
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,23428266601,United States,2004,956576,Health Care,Biotechnology: Pharmaceutical Preparations
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,232642125,United States,2022,5274,Finance,Blank Checks
ALORW,ALSP Orchid Acquisition Corporation I Warrant,0,United States,2022,3170,Finance,Blank Checks
ALOT,AstroNova Inc. Common Stock,91721847,United States,1983,11017,Technology,Computer peripheral equipment
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,195560957,United States,2021,10121,Industrials,Consumer Electronics/Appliances
ALPAU,Alpha Healthcare Acquisition Corp. III Units,0,United States,2021,202,Industrials,Consumer Electronics/Appliances
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,0,United States,2021,5528,Industrials,Consumer Electronics/Appliances
ALPN,Alpine Immune Sciences Inc. Common Stock,367774608,United States,2015,55049,Health Care,Biotechnology: Pharmaceutical Preparations
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,96961492,United States,,231790,Industrials,Consumer Electronics/Appliances
ALPS,Alpine Summit Energy Partners Inc. Class A Subordinate Voting Shares,44086854,Canada,,74648,,
ALRM,Alarm.com Holdings Inc. Common Stock,2526985019,United States,2015,178001,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics Inc. Common Stock,6539298,United States,2017,54866,Health Care,Biotechnology: Pharmaceutical Preparations
ALRS,Alerus Financial Corporation Common Stock,340458327,United States,2019,52060,Finance,Commercial Banks
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,153647250,United States,2022,9528,Finance,Blank Checks
ALSAR,Alpha Star Acquisition Corporation Rights,0,United States,2022,10165,Finance,Blank Checks
ALSAW,Alpha Star Acquisition Corporation Warrants,0,United States,2022,1932,Finance,Blank Checks
ALT,Altimmune Inc. Common Stock,243337327,United States,,20923760,Health Care,Biotechnology: Pharmaceutical Preparations
ALTI,Alvarium Tiedemann Holdings Inc. Class A Common Stock,1462773377,United States,2021,121075,Finance,Investment Managers
ALTIW,Alvarium Tiedemann Holdings Inc. Warrant,0,United States,2021,118683,Finance,Investment Managers
ALTO,Alto Ingredients Inc. Common Stock,118369741,United States,,711321,Industrials,Industrial Specialties
ALTR,Altair Engineering Inc. Class A Common Stock,5569096627,United States,2017,234159,Technology,Computer Software: Prepackaged Software
ALTU,Altitude Acquisition Corp. Class A Common Stock,126554914,United States,2021,9946,Industrials,Consumer Electronics/Appliances
ALTUW,Altitude Acquisition Corp. Warrant,0,United States,2021,6697,Industrials,Consumer Electronics/Appliances
ALVO,Alvotech Ordinary Shares,3359254813,Luxembourg,,42309,Health Care,Biotechnology: Pharmaceutical Preparations
ALVOW,Alvotech Warrant,0,Luxembourg,,72226,Health Care,Biotechnology: Pharmaceutical Preparations
ALVR,AlloVir Inc. Common Stock,305826540,United States,2020,93548,Health Care,Biotechnology: Pharmaceutical Preparations
ALXO,ALX Oncology Holdings Inc. Common Stock,196033724,United States,2020,1073953,Health Care,Biotechnology: Pharmaceutical Preparations
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,183467145,Canada,,5689,,
ALZN,Alzamend Neuro Inc. Common Stock,40499602,United States,2021,363981,Health Care, Medicinal Chemicals and Botanical Products 
AMAL,Amalgamated Financial Corp. Common Stock (DE),600188871,United States,2018,199317,Finance,Commercial Banks
AMAM,Ambrx Biopharma Inc. American Depositary Shares,384638806,United States,,732104,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,35815443,United States,2021,35749,Industrials,Consumer Electronics/Appliances
AMAOU,American Acquisition Opportunity Inc. Units,0,United States,2021,1400,Industrials,Consumer Electronics/Appliances
AMAT,Applied Materials Inc. Common Stock,1.01507E+11,United States,1972,10090147,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,3069930960,United States,2012,370558,Technology,Semiconductors
AMCX,AMC Networks Inc. Class A Common Stock,715238489,United States,,430673,Consumer Discretionary,Movies/Entertainment
AMD,Advanced Micro Devices Inc. Common Stock,1.56113E+11,United States,,85285333,Technology,Semiconductors
AMED,Amedisys Inc Common Stock,2413952644,United States,,368922,Health Care,Medical/Nursing Services
AMEH,Apollo Medical Holdings Inc. Common Stock,1806423567,United States,,350752,Health Care,Managed Health Care
AMGN,Amgen Inc. Common Stock,1.2439E+11,United States,1983,2128662,Health Care,Biotechnology: Pharmaceutical Preparations
AMKR,Amkor Technology Inc. Common Stock,6200308493,United States,1998,759403,Technology,Semiconductors
AMLI,American Lithium Corp. Common Stock,513355511,Canada,,335696,Industrials,Industrial Machinery/Components
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,2004913157,United States,2022,1118358,Health Care,Biotechnology: Pharmaceutical Preparations
AMNB,American National Bankshares Inc. Common Stock,344361031,United States,,37981,Finance,Major Banks
AMOT,Allied Motion Technologies Inc.,611757339,United States,,34628,Industrials,Electrical Products
AMPG,Amplitech Group Inc. Common Stock,24080283,United States,,27695,Technology,Industrial Machinery/Components
AMPGW,Amplitech Group Inc. Warrants,0,United States,,1179,Technology,Industrial Machinery/Components
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,1787287258,United States,2014,315047,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,1424549158,United States,,635299,Technology,EDP Services
AMRK,A-Mark Precious Metals Inc. Common Stock,704957931,United States,,219810,Finance,Investment Bankers/Brokers/Service
AMRN,Amarin Corporation plc,654202907,Ireland,,3387400,Health Care,Biotechnology: Pharmaceutical Preparations
AMRS,Amyris Inc. Common Stock,479809196,United States,2010,3428532,Industrials,Industrial Specialties
AMSC,American Superconductor Corporation Common Stock,126388986,United States,1991,131545,Industrials,Office Equipment/Supplies/Services
AMSF,AMERISAFE Inc. Common Stock,969478733,United States,2005,88037,Finance,Accident &Health Insurance
AMST,Amesite Inc. Common Stock,82080824,United States,2020,44347,Technology,Computer Software: Prepackaged Software
AMSWA,American Software Inc. Class A Common Stock,430865547,United States,,105871,Technology,Computer Software: Prepackaged Software
AMTB,Amerant Bancorp Inc. Class A Common Stock,792965525,United States,,109201,Finance,Major Banks
AMTI,Applied Molecular Transport Inc. Common Stock,14167499,United States,2020,83291,Health Care, Medicinal Chemicals and Botanical Products 
AMTX,Aemetis Inc. (DE) Common Stock,97071539,United States,,588571,Energy,Oilfield Services/Equipment
AMV,Atlis Motor Vehicles Inc. Class A Common Stock,6794213,United States,2022,1991283,Consumer Discretionary,Automotive Aftermarket
AMWD,American Woodmark Corporation Common Stock,865830968,United States,1986,143944,Consumer Discretionary,Building Products
